Country Name,Country Code,Series Name,Series Code,YR2015,YR2022/YR2021
Bermuda,BMU,Imports of goods and services ,NE.IMP.GNFS.KD,1552149000,1565926770
Bhutan,BTN,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,17.52903366
Bhutan,BTN,Government Effectiveness,GE.EST,0.419157714,0.556007385
Bhutan,BTN,Rule of Law,RL.EST,0.534968972,0.672034562
Bhutan,BTN,Voice and Accountability,VA.EST,-0.034806281,0.155555993
Bhutan,BTN,Control of Corruption,CC.EST,0.989677846,1.514259338
Bhutan,BTN,Imports of goods and services ,NE.IMP.GNFS.KD,1271188134,NA
Bolivia,BOL,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
Bolivia,BOL,Government Effectiveness,GE.EST,-0.676364422,-0.563976765
Bolivia,BOL,Rule of Law,RL.EST,-1.161920667,-1.300902247
Bolivia,BOL,Voice and Accountability,VA.EST,-0.004657394,-0.198109388
Bolivia,BOL,Control of Corruption,CC.EST,-0.717430353,-0.889222622
Bolivia,BOL,Imports of goods and services ,NE.IMP.GNFS.KD,12231374703,12094385804
Bosnia and Herzegovina,BIH,Gross Tertiary School Enrollment (%),SE.TER.ENRR,48.62343979,44.63267136
Bosnia and Herzegovina,BIH,Government Effectiveness,GE.EST,-0.623982072,-1.064426422
Bosnia and Herzegovina,BIH,Rule of Law,RL.EST,-0.264293224,-0.306685209
Bosnia and Herzegovina,BIH,Voice and Accountability,VA.EST,-0.098089233,-0.325712889
Bosnia and Herzegovina,BIH,Control of Corruption,CC.EST,-0.417167664,-0.683835208
Bosnia and Herzegovina,BIH,Imports of goods and services ,NE.IMP.GNFS.KD,8723359335,11754978758
Botswana,BWA,Gross Tertiary School Enrollment (%),SE.TER.ENRR,27.16739082,NA
Botswana,BWA,Government Effectiveness,GE.EST,0.45184046,0.463997155
Botswana,BWA,Rule of Law,RL.EST,0.483489394,0.467351377
Botswana,BWA,Voice and Accountability,VA.EST,0.450683594,0.446497649
Botswana,BWA,Control of Corruption,CC.EST,0.78125155,0.661455095
Botswana,BWA,Imports of goods and services ,NE.IMP.GNFS.KD,8092740028,6827679664
Brazil,BRA,Gross Tertiary School Enrollment (%),SE.TER.ENRR,48.43404007,NA
Brazil,BRA,Government Effectiveness,GE.EST,-0.254576027,-0.587532163
Brazil,BRA,Rule of Law,RL.EST,-0.187204733,-0.257250935
Brazil,BRA,Voice and Accountability,VA.EST,0.458866268,0.214864358
Brazil,BRA,Control of Corruption,CC.EST,-0.457372844,-0.566063046
Brazil,BRA,Imports of goods and services ,NE.IMP.GNFS.KD,2.53E+11,2.70E+11
British Virgin Islands,VGB,Gross Tertiary School Enrollment (%),SE.TER.ENRR,43.11782837,31.35634041
British Virgin Islands,VGB,Government Effectiveness,GE.EST,NA,NA
British Virgin Islands,VGB,Rule of Law,RL.EST,NA,NA
British Virgin Islands,VGB,Voice and Accountability,VA.EST,NA,NA
British Virgin Islands,VGB,Control of Corruption,CC.EST,NA,NA
British Virgin Islands,VGB,Imports of goods and services ,NE.IMP.GNFS.KD,NA,NA
Brunei Darussalam,BRN,Gross Tertiary School Enrollment (%),SE.TER.ENRR,36.97822189,NA
Brunei Darussalam,BRN,Government Effectiveness,GE.EST,1.02662456,1.422244668
Brunei Darussalam,BRN,Rule of Law,RL.EST,0.381170213,0.934209585
Brunei Darussalam,BRN,Voice and Accountability,VA.EST,-0.754139483,-0.816516161
Brunei Darussalam,BRN,Control of Corruption,CC.EST,0.534770489,1.174819589
Brunei Darussalam,BRN,Imports of goods and services ,NE.IMP.GNFS.KD,4872546659,10258885185
Bulgaria,BGR,Gross Tertiary School Enrollment (%),SE.TER.ENRR,74.04489136,NA
Bulgaria,BGR,Government Effectiveness,GE.EST,-0.012040901,-0.270799845
Bulgaria,BGR,Rule of Law,RL.EST,-0.159006894,-0.107211575
Bulgaria,BGR,Voice and Accountability,VA.EST,0.432587624,0.285204858
Bulgaria,BGR,Control of Corruption,CC.EST,-0.345705241,-0.157897115
Bulgaria,BGR,Imports of goods and services ,NE.IMP.GNFS.KD,31975159405,48940402768
Burkina Faso,BFA,Gross Tertiary School Enrollment (%),SE.TER.ENRR,4.926290035,9.730079651
Burkina Faso,BFA,Government Effectiveness,GE.EST,-0.690876186,-0.825155377
Burkina Faso,BFA,Rule of Law,RL.EST,-0.541016102,-0.60767895
Burkina Faso,BFA,Voice and Accountability,VA.EST,-0.114109591,-0.633902013
Burkina Faso,BFA,Control of Corruption,CC.EST,-0.298838139,-0.08361081
Burkina Faso,BFA,Imports of goods and services ,NE.IMP.GNFS.KD,3902427858,5924709489
Burundi,BDI,Gross Tertiary School Enrollment (%),SE.TER.ENRR,5.391960144,6.516800404
Burundi,BDI,Government Effectiveness,GE.EST,-1.236774683,-1.262840748
Burundi,BDI,Rule of Law,RL.EST,-1.185967684,-1.277139783
Burundi,BDI,Voice and Accountability,VA.EST,-1.27204144,-1.387992978
Burundi,BDI,Control of Corruption,CC.EST,-1.28679204,-1.518141747
Burundi,BDI,Imports of goods and services ,NE.IMP.GNFS.KD,509708728.1,811277118.9
Cabo Verde,CPV,Gross Tertiary School Enrollment (%),SE.TER.ENRR,20.57601929,NA
Cabo Verde,CPV,Government Effectiveness,GE.EST,0.16813314,-0.026202837
Cabo Verde,CPV,Rule of Law,RL.EST,0.56853348,0.36523217
Cabo Verde,CPV,Voice and Accountability,VA.EST,0.942406356,0.935108244
Cabo Verde,CPV,Control of Corruption,CC.EST,0.929523051,0.983122945
Cabo Verde,CPV,Imports of goods and services ,NE.IMP.GNFS.KD,925203581.1,1259873608
Cambodia,KHM,Gross Tertiary School Enrollment (%),SE.TER.ENRR,14.64577007,14.99855042
Cambodia,KHM,Government Effectiveness,GE.EST,-0.743951738,-0.351662397
Cambodia,KHM,Rule of Law,RL.EST,-0.996449172,-0.866584659
Cambodia,KHM,Voice and Accountability,VA.EST,-1.122608662,-1.309167027
Cambodia,KHM,Control of Corruption,CC.EST,-1.153123736,-1.24149859
Cambodia,KHM,Imports of goods and services ,NE.IMP.GNFS.KD,11939258369,19888244372
Cameroon,CMR,Gross Tertiary School Enrollment (%),SE.TER.ENRR,16.95646095,NA
Cameroon,CMR,Government Effectiveness,GE.EST,-0.833250225,-0.881544709
Cameroon,CMR,Rule of Law,RL.EST,-0.998011053,-1.045376182
Cameroon,CMR,Voice and Accountability,VA.EST,-0.954277456,-1.148244619
Cameroon,CMR,Control of Corruption,CC.EST,-1.0961833,-1.127934813
Cameroon,CMR,Imports of goods and services ,NE.IMP.GNFS.KD,7907933406,9243016222
Canada,CAN,Gross Tertiary School Enrollment (%),SE.TER.ENRR,67.40316772,NA
Canada,CAN,Government Effectiveness,GE.EST,1.731752515,1.567070484
Canada,CAN,Rule of Law,RL.EST,1.807273388,1.566220164
Canada,CAN,Voice and Accountability,VA.EST,1.467146516,1.434968352
Canada,CAN,Control of Corruption,CC.EST,1.845864892,1.658579826
Canada,CAN,Imports of goods and services ,NE.IMP.GNFS.KD,5.34E+11,6.10E+11
Cayman Islands,CYM,Gross Tertiary School Enrollment (%),SE.TER.ENRR,30.67870903,NA
Cayman Islands,CYM,Government Effectiveness,GE.EST,1.130809546,1.262335181
Cayman Islands,CYM,Rule of Law,RL.EST,0.783619344,0.721195281
Cayman Islands,CYM,Voice and Accountability,VA.EST,0.469175249,0.752333164
Cayman Islands,CYM,Control of Corruption,CC.EST,0.973423421,0.457741022
Cayman Islands,CYM,Imports of goods and services ,NE.IMP.GNFS.KD,NA,NA
Central African Republic,CAF,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
Central African Republic,CAF,Government Effectiveness,GE.EST,-1.810121775,-1.709396243
Central African Republic,CAF,Rule of Law,RL.EST,-1.710966468,-1.701157451
Central African Republic,CAF,Voice and Accountability,VA.EST,-1.223749876,-1.21139431
Central African Republic,CAF,Control of Corruption,CC.EST,-1.326884508,-1.24606657
Central African Republic,CAF,Imports of goods and services ,NE.IMP.GNFS.KD,611811304.2,728780996.9
Chad,TCD,Gross Tertiary School Enrollment (%),SE.TER.ENRR,3.334510088,NA
Chad,TCD,Government Effectiveness,GE.EST,-1.489995956,-1.422905684
Chad,TCD,Rule of Law,RL.EST,-1.210497618,-1.372529984
Chad,TCD,Voice and Accountability,VA.EST,-1.33509016,-1.476254106
Chad,TCD,Control of Corruption,CC.EST,-1.381444931,-1.488084197
Chad,TCD,Imports of goods and services ,NE.IMP.GNFS.KD,4003726597,4074843711
Channel Islands,CHI,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
Channel Islands,CHI,Government Effectiveness,GE.EST,NA,NA
Channel Islands,CHI,Rule of Law,RL.EST,NA,NA
Channel Islands,CHI,Voice and Accountability,VA.EST,NA,NA
Channel Islands,CHI,Control of Corruption,CC.EST,NA,NA
Channel Islands,CHI,Imports of goods and services ,NE.IMP.GNFS.KD,NA,NA
Chile,CHL,Gross Tertiary School Enrollment (%),SE.TER.ENRR,86.41811371,NA
Chile,CHL,Government Effectiveness,GE.EST,0.919540107,0.54677397
Chile,CHL,Rule of Law,RL.EST,1.220056891,0.69040066
Chile,CHL,Voice and Accountability,VA.EST,1.004505992,0.972975135
Chile,CHL,Control of Corruption,CC.EST,1.183169365,0.968280137
Chile,CHL,Imports of goods and services ,NE.IMP.GNFS.KD,73118253440,96097474489
China,CHN,Gross Tertiary School Enrollment (%),SE.TER.ENRR,47.43537903,71.98155212
China,CHN,Government Effectiveness,GE.EST,0.417484969,0.495032012
China,CHN,Rule of Law,RL.EST,-0.409359097,-0.041443985
China,CHN,Voice and Accountability,VA.EST,-1.660773635,-1.609574914
China,CHN,Control of Corruption,CC.EST,-0.299674153,0.015970249
China,CHN,Imports of goods and services ,NE.IMP.GNFS.KD,2.00E+12,NA
Colombia,COL,Gross Tertiary School Enrollment (%),SE.TER.ENRR,54.79613113,NA
Colombia,COL,Government Effectiveness,GE.EST,-0.09331242,0.014415628
Colombia,COL,Rule of Law,RL.EST,-0.246754706,-0.426875532
Colombia,COL,Voice and Accountability,VA.EST,0.00393945,0.166357532
Colombia,COL,Control of Corruption,CC.EST,-0.352239668,-0.361808151
Colombia,COL,Imports of goods and services ,NE.IMP.GNFS.KD,66653739144,91551366795
Comoros,COM,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
Comoros,COM,Government Effectiveness,GE.EST,-1.640621901,-1.682512879
Comoros,COM,Rule of Law,RL.EST,-0.852633536,-1.313717961
Comoros,COM,Voice and Accountability,VA.EST,-0.291619182,-0.868450522
Comoros,COM,Control of Corruption,CC.EST,-0.77018398,-1.244413257
Comoros,COM,Imports of goods and services ,NE.IMP.GNFS.KD,267288351.3,364657062.3
"Congo, Dem. Rep.",COD,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
"Congo, Dem. Rep.",COD,Government Effectiveness,GE.EST,-1.641777277,-1.745920062
"Congo, Dem. Rep.",COD,Rule of Law,RL.EST,-1.600078106,-1.672433853
"Congo, Dem. Rep.",COD,Voice and Accountability,VA.EST,-1.304217577,-1.183693051
"Congo, Dem. Rep.",COD,Control of Corruption,CC.EST,-1.310912609,-1.544474006
"Congo, Dem. Rep.",COD,Imports of goods and services ,NE.IMP.GNFS.KD,11984597607,33357212418
"Congo, Rep.",COG,Gross Tertiary School Enrollment (%),SE.TER.ENRR,11.59112453,NA
"Congo, Rep.",COG,Government Effectiveness,GE.EST,-1.070317388,-1.369321823
"Congo, Rep.",COG,Rule of Law,RL.EST,-1.136449218,-1.089522958
"Congo, Rep.",COG,Voice and Accountability,VA.EST,-1.016987562,-1.199183702
"Congo, Rep.",COG,Control of Corruption,CC.EST,-1.270935655,-1.359451652
"Congo, Rep.",COG,Imports of goods and services ,NE.IMP.GNFS.KD,9508127400,3833828250
Costa Rica,CRI,Gross Tertiary School Enrollment (%),SE.TER.ENRR,51.65193176,NA
Costa Rica,CRI,Government Effectiveness,GE.EST,0.306994051,0.053266428
Costa Rica,CRI,Rule of Law,RL.EST,0.492776275,0.43657729
Costa Rica,CRI,Voice and Accountability,VA.EST,1.151597261,1.06959331
Costa Rica,CRI,Control of Corruption,CC.EST,0.687304258,0.46584937
Costa Rica,CRI,Imports of goods and services ,NE.IMP.GNFS.KD,17360351864,21969897809
Cote d'Ivoire,CIV,Gross Tertiary School Enrollment (%),SE.TER.ENRR,8.899279594,NA
Cote d'Ivoire,CIV,Government Effectiveness,GE.EST,-0.746898711,-0.342977226
Cote d'Ivoire,CIV,Rule of Law,RL.EST,-0.651138127,-0.479640156
Cote d'Ivoire,CIV,Voice and Accountability,VA.EST,-0.407607913,-0.417194635
Cote d'Ivoire,CIV,Control of Corruption,CC.EST,-0.462348998,-0.348596215
Cote d'Ivoire,CIV,Imports of goods and services ,NE.IMP.GNFS.KD,11618511649,17030297057
Croatia,HRV,Gross Tertiary School Enrollment (%),SE.TER.ENRR,66.24445343,NA
Croatia,HRV,Government Effectiveness,GE.EST,0.458035767,0.581651032
Croatia,HRV,Rule of Law,RL.EST,0.127141327,0.368116319
Croatia,HRV,Voice and Accountability,VA.EST,0.555522323,0.613270462
Croatia,HRV,Control of Corruption,CC.EST,0.200334981,0.148001134
Croatia,HRV,Imports of goods and services ,NE.IMP.GNFS.KD,23062501617,39688785685
Cuba,CUB,Gross Tertiary School Enrollment (%),SE.TER.ENRR,36.21772003,NA
Cuba,CUB,Government Effectiveness,GE.EST,0.003305578,-0.350331843
Cuba,CUB,Rule of Law,RL.EST,-0.719569623,-0.45963496
Cuba,CUB,Voice and Accountability,VA.EST,-1.558115363,-1.339495063
Cuba,CUB,Control of Corruption,CC.EST,0.038489599,-0.069347166
Cuba,CUB,Imports of goods and services ,NE.IMP.GNFS.KD,12605000000,8437135961
Curacao,CUW,Gross Tertiary School Enrollment (%),SE.TER.ENRR,19.00263977,15.90087795
Curacao,CUW,Government Effectiveness,GE.EST,NA,NA
Curacao,CUW,Rule of Law,RL.EST,NA,NA
Curacao,CUW,Voice and Accountability,VA.EST,NA,NA
Curacao,CUW,Control of Corruption,CC.EST,NA,NA
Curacao,CUW,Imports of goods and services ,NE.IMP.GNFS.KD,2441508380,NA
Cyprus,CYP,Gross Tertiary School Enrollment (%),SE.TER.ENRR,60.10123062,NA
Cyprus,CYP,Government Effectiveness,GE.EST,1.018330455,0.730678856
Cyprus,CYP,Rule of Law,RL.EST,1.010877728,0.570798516
Cyprus,CYP,Voice and Accountability,VA.EST,1.031601667,0.846960843
Cyprus,CYP,Control of Corruption,CC.EST,0.972112,0.421609163
Cyprus,CYP,Imports of goods and services ,NE.IMP.GNFS.KD,13390807238,27102191345
Czechia,CZE,Gross Tertiary School Enrollment (%),SE.TER.ENRR,67.23036194,NA
Czechia,CZE,Government Effectiveness,GE.EST,1.0261482,1.093907475
Czechia,CZE,Rule of Law,RL.EST,1.107018948,1.100805759
Czechia,CZE,Voice and Accountability,VA.EST,1.042778969,1.037314415
Czechia,CZE,Control of Corruption,CC.EST,0.468281865,0.663116157
Czechia,CZE,Imports of goods and services ,NE.IMP.GNFS.KD,1.40E+11,1.82E+11
Denmark,DNK,Gross Tertiary School Enrollment (%),SE.TER.ENRR,83.30040741,NA
Denmark,DNK,Government Effectiveness,GE.EST,1.795310259,1.990609765
Denmark,DNK,Rule of Law,RL.EST,2.015602112,1.900308132
Denmark,DNK,Voice and Accountability,VA.EST,1.552847028,1.585866094
Denmark,DNK,Control of Corruption,CC.EST,2.186062336,2.402744293
Denmark,DNK,Imports of goods and services ,NE.IMP.GNFS.KD,1.47E+11,1.94E+11
Djibouti,DJI,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
Djibouti,DJI,Government Effectiveness,GE.EST,-1.017450929,-0.786164522
Djibouti,DJI,Rule of Law,RL.EST,-0.944647133,-1.102044463
Djibouti,DJI,Voice and Accountability,VA.EST,-1.41282475,-1.287063956
Djibouti,DJI,Control of Corruption,CC.EST,-0.697723746,-0.793283403
Djibouti,DJI,Imports of goods and services ,NE.IMP.GNFS.KD,2980599356,3470065783
Dominica,DMA,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
Dominica,DMA,Government Effectiveness,GE.EST,0.213033155,-0.097093813
Dominica,DMA,Rule of Law,RL.EST,0.701884568,0.733293772
Dominica,DMA,Voice and Accountability,VA.EST,0.878904223,0.794093907
Dominica,DMA,Control of Corruption,CC.EST,0.606966794,0.539313197
Dominica,DMA,Imports of goods and services ,NE.IMP.GNFS.KD,326948148.1,NA
Dominican Republic,DOM,Gross Tertiary School Enrollment (%),SE.TER.ENRR,51.94644165,NA
Dominican Republic,DOM,Government Effectiveness,GE.EST,-0.394691527,-0.067733064
Dominican Republic,DOM,Rule of Law,RL.EST,-0.530484796,-0.092175312
Dominican Republic,DOM,Voice and Accountability,VA.EST,0.154281542,0.310950071
Dominican Republic,DOM,Control of Corruption,CC.EST,-0.873490095,-0.439608067
Dominican Republic,DOM,Imports of goods and services ,NE.IMP.GNFS.KD,20217568219,29932321587
Ecuador,ECU,Gross Tertiary School Enrollment (%),SE.TER.ENRR,44.94551849,NA
Ecuador,ECU,Government Effectiveness,GE.EST,-0.394115418,-0.308546245
Ecuador,ECU,Rule of Law,RL.EST,-0.956348419,-0.620224118
Ecuador,ECU,Voice and Accountability,VA.EST,-0.211743653,0.025918409
Ecuador,ECU,Control of Corruption,CC.EST,-0.672159255,-0.62992847
