GISS Record,Record,Species name,Country,State / Province,1.1.GISS - Impacts on plants or vegetation - Impact description,Plants_score,Plants_Confidence_level,"1.2.GISS - Impacts on animals through predation, parasitism, or intoxication - Impact description",Animals_score,Animals_Confidence_level,1.3.GISS - Impacts on other species through competition - Impact description,Competition_score,Competition_Confidence_level,1.4.GISS - Impacts on ecosystems - Impact description,Ecosystems_score,Ecosystems_Confidence_level,1.5.GISS -  Impacts through transmission of diseases or parasites to native species - Impact description,Diseases_score,Diseases_Confidence_level,1.6.GISS - Impacts through hybridization - Impact description,Hybridization_score,Hybridization_Confidence_level,2.1.Impacts on agricultural production,Crops_score,Crops_Confidence_level,2.2.Impacts on animal production,Animal.production_score,Animal.production_Confidence_level,2.3.Impacts on forestry production,Forestry_score,Forestry_Confidence_level,2.4.Impacts on human infrastructure and administration,Infrastructure_score,Infrastructure_Confidence_level,2.5.Impacts on human health,Health_score,Health_Confidence_level,Health_type,2.6.Impacts on human social life,Social_score,Social_Confidence_level,GISS - environment,GISS - socioeconomic,GISS- TOTAL Impact,Comments,Methodology queries,Reference Code,Year,Full Reference
60,56,Anoplolepis gracilipes,United States,Hawai'i,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,"345,000 USD is the bare costs of a single crazy ant strike team program on Johnston Atoll (have been 12!)",3,3,NI,0,NI,,NI,0,NI,0,3,3,,,White_2011,2011,White. 2011. Eradication of yellow crazy ants on Johnston Island. Region 1 FY 2011 Invasive Species Control Program Proposal
63,59,Anoplolepis gracilipes,Kiribati,Kiritimati,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,"68,000 NZD is cost of YCA management on Kiritimati to date (2015-2016)",2,3,NI,0,NI,,NI,0,NI,0,2,2,,,,2016,"Pacific Biosecurity, 2016"
68,64,Anoplolepis gracilipes,Australia,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,0,0,,,Lach_2015,2015,"Department of Agriculture, Fisheries, and Forestry, Queensland, Biosecurity Queensland. Cost Benefit Analysis of Yellow Crazy Ant Eradication in Queensland. August 2012                                                                                                          IN: Lach L. 2015. Supplementary submission to the Senate Environment and Communications References Committee inquiry into environmental biosecurity"
69,65,Anoplolepis gracilipes,Australia,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,0,0,,,Lach_2015,2015,"Department of Agriculture, Fisheries, and Forestry, Queensland, Biosecurity Queensland. Cost Benefit Analysis of Yellow Crazy Ant Eradication in Queensland. August 2012                                                                                                          IN: Lach L. 2015. Supplementary submission to the Senate Environment and Communications References Committee inquiry into environmental biosecurity"
75,69,Anoplolepis gracilipes,United States,Hawai'i,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,"""Affected fruits, and often whole bunches, produced at commercial banana farms in Hawai‘i cannot be sold. They are destroyed in the field, resulting in an economic loss for each affected bunch. Since the edibility of the fruit is not affected, however, ant-damaged fruits may be found at farmers’ markets in Hawai‘i, though even here the value is reduced if injury is severe."" ",3,low,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,3,3,,Unlcear how significant economic losses are,Nelson and Taniguchi_2012,2012,"Nelson S, Taniguchi G. 2012. Ant damage to banana fruits by abdominal secretions. Insect Pests !P-29"
107,100,Anoplolepis gracilipes,India,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,"""During our interactions in 2014, local vegetable growers shared that they experienced crop loss in all their pumpkin and gourd patches despite normal flowering… Since YCA themselves were not directly involved in pollen transportation between the staminate and pistillate flowers and they limited the pollen-carrying honey bees from landing on the pistillate flowers, almost all the ant-colonized flowers were left unpollinated.""",2,2,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,2,2,difficult to determine impact level,,Sinu et al_2017,2017,"Sinu PA, Sibisha VC, Reshmi MV, Reshmi KS, Jasna TV, Aswathi K, Megha PP. 2017. Invasive ant (Anoplolepis gracilipes) disrupts pollination in pumpkin. Biological Invasions 19: 2599-2607"
109,102.1,Anoplolepis gracilipes,Indonesia,Sulawesi,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,"""We found that the mean percentage of seeds removed per garden was 42.0%, 49.4%, 48.0% and 50.6% for C. sativus [cucumber], D. carota [carrot], C. frutescens [chili pepper] and S. melongena [eggplant0, respectively, halving the farmers' income after considering initial and operational costs.""",3,3,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,3,3,,,Motzke et al_2013,2013,"Motzke I, Tschamtke T, Sodhi NS, Klein AM, Wanger Tc. 2013. Ant seed predation, pesticide applications and farmers' income from tropical multi-cropping gardens. Agricultural and Forest Entomology 15: 245-254"
149,132,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,0,0,,,"none, online",2016,"James Cook University. 2016. A welcome boost for yellow crazy ant research. James Cook University, June 1 2016 https://www.jcu.edu.au/news/releases/2016/june/a-welcome-boost-for-yellow-crazy-research"
150,133,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"“Three times they got me in bed there. I woke up one night ... the first thing you do when you wake up is you blink or you do something,’’ he said.“They go all over your face, spraying acid.“You open up one eye when you’re asleep and I had the lens on my eye burnt off.”",3,1,,NI,0,NI,0,3,3,,,"none, online",2014,"Bateman D. 2014. Trail of devestation as Cairns region declares war on yellow crazy ants. Cairns Post, June 27 2014 https://www.cairnspost.com.au/news/cairns-gone-wild/trail-of-devastation-as-cairns-region-declares-war-on-yellow-crazy-ants/news-story/d25fad37d6f1f0bd490efeba3915c743"
151,134,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,"“I’ve got dogs out in the yard – 50kg dogs,’’ he said.“If they get a scratch between their toes, the acid burns a hole in there.“The ants go looking for moisture, so they’ll go to your eyes or your mouth.",2,1,0,2,2,best category available?,,"none, online",2014,"Bateman D. 2014. Trail of devestation as Cairns region declares war on yellow crazy ants. Cairns Post, June 27 2014 https://www.cairnspost.com.au/news/cairns-gone-wild/trail-of-devastation-as-cairns-region-declares-war-on-yellow-crazy-ants/news-story/d25fad37d6f1f0bd490efeba3915c743"
152,135,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,"""The ants, which are attracted to moisture in Frank’s home, wreak havoc on his electronic appliances, destroying items such as his television.""",2,1,NI,0,NI,,NI,0,NI,0,2,2,,,"none, online",2014,"Bateman D. 2014. Trail of devestation as Cairns region declares war on yellow crazy ants. Cairns Post, June 27 2014 https://www.cairnspost.com.au/news/cairns-gone-wild/trail-of-devastation-as-cairns-region-declares-war-on-yellow-crazy-ants/news-story/d25fad37d6f1f0bd490efeba3915c743"
153,136,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,0,0,,,"none, online",2017,"Warburton B. 2017. Yellow crazy ant infestation detected in Townsville. Townsville Bulletin, June 16 2017 https://www.townsvillebulletin.com.au/news/yellow-crazy-ant-infestation-detected-in-townsville/news-story/8999dcba3aad579dec9410b84867dc32"
154,137,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,"""As a cane farmer at Edmonton - with land adjoining World Heritage rainforest just south of Cairns - he hadn't even heard of yellow crazy ants. That is, until they developed a taste for sugar cane and devastated his crop. Mr Zappala says one of his cane paddock infested with yellow crazy ants will have to be re-planted after only two returns (instead of the usual four). ""It's four units (of sugar content) below the mill average, a lot of damage and a lot of cost involved."" ""It costs over 600 dollars an acre to plant, you should get at least a fourth return out of it and this paddock has just gone a second and it's finished.""",2,1,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,2,2,,,"none, online",2012,"McKillop C. 2012. Seeing red over yellow crazy ants. ABC Rural, November 8 2012 http://www.abc.net.au/site-archive/rural/content/2012/s3628782.htm"
155,138,Anoplolepis gracilipes,Australia,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,0,0,,,"none, online",2017,"Australian Government, Department of the Environment and Energy. 2017. $7.5 million boost for yellow crazy ant control efforts. The Honorable Josh Frydenberg MP Media releases, April 13 2017 http://www.environment.gov.au/minister/frydenberg/media-releases/mr20170413b.html"
156,139,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,0,0,,,Townsville City Council_2017,2017,"Townsville City Council. 2017. Ordinary council public minutes, Tuesday 27 June 2017 at 10:31AM. City of Townsville"
260,227.4,Tapinoma melanocephalum,Brazil,Bahia,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,""" These eight species [top 5 listed in matrix record] were responsible for 88.9% of the total number of oc- currences. In Bahia, these ants are not found exclusively in houses, but are also com- monly found in gardens, secondary vegetation, and crops... The most abundant ant species were Ph. megacephala (47% of infested houses and 31.7% of occurrences) and T melanocephalum (48% of infested houses and 22.9% of occurrences).""",2,3,Indoor (Occurrence),NI,0,NI,0,2,2,,,Delabie et al_1995,1995,"Delabie JHC, Do Nascimento IC, Pacheco P, Casimiro AB. 1995. Community structure of house-infesting ants (Hymenoptera: Formicidae) in southern Bahia, Brazil. Florida Entomologist 78(2): 264-270"
381,276,Anoplolepis gracilipes,Tokelau,Atafu,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""We found a significant positive correlation between the perception of the problem and the abundance of yellow crazy ants in the vicinity of the respondent’s home. The problems that these ants were reported to induce were mainly related to the ants’ direct effects on humans... They ‘crawl all over people’...""",2,1,,NI,0,NI,0,2,2,,,Gruber et al_2018,2018,"Gruber MAM, Pierce RJ, Burne AR, Naseri-Sale L, Lester PJ. 2018. Using community engagement and biodiversity surveys to inform decisions to control invasive species: a case study of yellow crazy ants in Atafu, Tokelau. Pacific Conservation Biology DOI: 10.1071/PC17055"
382,277,Anoplolepis gracilipes,Tokelau,Atafu,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,"""We found a significant positive correlation between the perception of the problem and the abundance of yellow crazy ants in the vicinity of the respondent’s home. The problems that these ants were reported to induce were mainly related to the ants’ direct effects on humans. They ‘ruined the garden, ants eat everything...""""",2,1,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,2,2,,,Gruber et al_2018,2018,"Gruber MAM, Pierce RJ, Burne AR, Naseri-Sale L, Lester PJ. 2018. Using community engagement and biodiversity surveys to inform decisions to control invasive species: a case study of yellow crazy ants in Atafu, Tokelau. Pacific Conservation Biology DOI: 10.1071/PC17055"
383,278,Anoplolepis gracilipes,Tokelau,Atafu,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,"""We found a significant positive correlation between the perception of the problem and the abundance of yellow crazy ants in the vicinity of the respondent’s home. The problems that these ants were reported to induce were mainly related to the ants’ direct effects on humans. They... ate the ‘food for pigs that is kept outside’...""",2,1,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,2,2,,,Gruber et al_2018,2018,"Gruber MAM, Pierce RJ, Burne AR, Naseri-Sale L, Lester PJ. 2018. Using community engagement and biodiversity surveys to inform decisions to control invasive species: a case study of yellow crazy ants in Atafu, Tokelau. Pacific Conservation Biology DOI: 10.1071/PC17055"
384,279,Anoplolepis gracilipes,Tokelau,Atafu,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,"""We found a significant positive correlation between the perception of the problem and the abundance of yellow crazy ants in the vicinity of the respondent’s home. The problems that these ants were reported to induce were mainly related to the ants’ direct effects on humans.... residents in ant-infested areas ‘can’t sleep outside anymore’.""",3,3,0,3,3,,,Gruber et al_2018,2018,"Gruber MAM, Pierce RJ, Burne AR, Naseri-Sale L, Lester PJ. 2018. Using community engagement and biodiversity surveys to inform decisions to control invasive species: a case study of yellow crazy ants in Atafu, Tokelau. Pacific Conservation Biology DOI: 10.1071/PC17055"
385,280,Anoplolepis gracilipes,Tokelau,Atafu,NI,0,NI,"""However, in the vao area, where yellow crazy ants were in much higher abundance, we observed more adults without eggs, chicks or juveniles, compared with the village proper. Consistent with our observations of white terns that appeared to be shaking off yellow crazy ants in the vao, we found that white tern breeding success overall was higher in the village than in the vao... """,2,3,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,2,0,2,,,Gruber et al_2018,2018,"Gruber MAM, Pierce RJ, Burne AR, Naseri-Sale L, Lester PJ. 2018. Using community engagement and biodiversity surveys to inform decisions to control invasive species: a case study of yellow crazy ants in Atafu, Tokelau. Pacific Conservation Biology DOI: 10.1071/PC17055"
386,281,Anoplolepis gracilipes,Tokelau,Atafu,NI,0,NI,NI,0,NI,"""Ant community diversity H1 was 2.7 times greater in the village location than the vao location. As rare species are down-weighted as q increases, our results suggest that common ant species were more likely to be negatively affected by yellow crazy ants than were rare species.""",1,3,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,1,0,1,,,Gruber et al_2018,2018,"Gruber MAM, Pierce RJ, Burne AR, Naseri-Sale L, Lester PJ. 2018. Using community engagement and biodiversity surveys to inform decisions to control invasive species: a case study of yellow crazy ants in Atafu, Tokelau. Pacific Conservation Biology DOI: 10.1071/PC17055"
387,282,Anoplolepis gracilipes,Tokelau,Atafu,NI,0,NI,"""We found six orders of invertebrates in our pitfall traps (Diptera, Isopoda, Araneae, Coleoptera, Blattodea and Psocoptera) and two classes (Diplopoda and Collembola). We also found mites (subclass Acari), which we did not identify to order level. Community diversity (H0 and H1) did not differ between the vao and village locations for invertebrates.""",0,3,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,0,0,,,Gruber et al_2018,2018,"Gruber MAM, Pierce RJ, Burne AR, Naseri-Sale L, Lester PJ. 2018. Using community engagement and biodiversity surveys to inform decisions to control invasive species: a case study of yellow crazy ants in Atafu, Tokelau. Pacific Conservation Biology DOI: 10.1071/PC17055"
508,363,Anoplolepis gracilipes,Seychelles,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""… a questionnaire given to 246 people requesting poison bait for ant control showed that they regarded it primarily as a pest, most commenting on its general nuisance in the home (invaded homes, crawled over people & food)…""",2,1,,NI,0,NI,0,2,2,,,Haines et al_1994,1994,"Haines IH, Haines JB, Cherrett JM. 1994. The impact and control of the crazy ant, Anoplolepis longipes (Jerd.), in the Seychelles. In: Exotic ants: biology, impact, and control of introduced species (Williams D), Westview Press, Boulder pp 206-218"
509,364,Anoplolepis gracilipes,Seychelles,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,"""Anoplolepis longipes greatly enhanced coccid populations, and their production of honeydew, which was considerably in excess of what the ants could consume. As a result, the honeydew contaminated foliage induced sootly mold to grow on it. When a site at Maldive, where the ants had been living for 15 years, was compared with one at Glacis:Sunset which was still free of ants, 93% of cinnamon leaves had coccids, compared with 23.6%. The number of coccids per leaf was 33.4 compared with 2.1, whilst in general, 98% of the plants had sooty mold versus 41% in the ant free site, 60% of the canopy was covered compared with 18%. Indeed, sooty mold was so marked that it was possible to drive around the island mapping the extent of the A. longipes infestation by noting the presence or absence of black (sooty mold contaminated) trees and bushes.""",2,1,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,2,2,,,Haines et al_1994,1994,"Haines IH, Haines JB, Cherrett JM. 1994. The impact and control of the crazy ant, Anoplolepis longipes (Jerd.), in the Seychelles. In: Exotic ants: biology, impact, and control of introduced species (Williams D), Westview Press, Boulder pp 206-218"
510,365,Anoplolepis gracilipes,Seychelles,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,"""Considerable concern was expressed over the effects of the ants on other animals. There were records of newly-hatched chickens and newly born domestic animals such as pigs, dogs, cats and rabbits being killed, whilst older animals were irritated and moved away.""",2,3,NI,0,NI,NI,0,NI,NI,0,NI,,NI,0,NI,0,2,2,,,Haines et al_1994,1994,"Haines IH, Haines JB, Cherrett JM. 1994. The impact and control of the crazy ant, Anoplolepis longipes (Jerd.), in the Seychelles. In: Exotic ants: biology, impact, and control of introduced species (Williams D), Westview Press, Boulder pp 206-218"
512,367,Anoplolepis gracilipes,Australia,Northern Territory,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,$112669.49 is estimated management costs for YCA in NE Arnhem Land over 11 years (2004-2014) ,2,3,NI,0,NI,,NI,0,NI,0,2,2,,,none,2016,"Ben Hoffmann, Principal Research Scientist, Land and Water Flagship, CSIRO ben.hoffmann@csiro.au, personal communication to M. Cooling, 2016"
557,7,Anoplolepis gracilipes,Tokelau,"Fakaofo, Nukunonu",,,,"This report documents the ongoing invasion ofthe Tokelau atolls by the long-legged ant, Anoplolepis gracilipes (Jerdon). These ants were collected from two of the three Tokelau atolls. On the island of Fenua Fala of Fakaofo Atoll, long-legged ants appear to be a recent arrival and occur in only a small area around one of the two ports. Most of the inhabited islands of Vao and Motuhuga on Nukunonu Atoll have been invaded, in addition to several of the uninhabited, forested islands. Despite this ant having been previously recorded from at least one island of Fakaofo and Nukunonu, these appear to be new invasions. Densities ofup to 3,603 A. gracilipes per pitfall trap were caught per 24 hr. A significant reduction in ant species diversity was observed with increasing A. gracilipes densities. Densities ofthis ant were not uniformly high, perhaps due to variation in food availability. Prey such as crabs, ant colonies, and other in- sects were directly observed being attacked, and long-legged ants were observed to feed on honeydew produced by high densities ofaphids, mealybugs, and scale insects on a variety of plants. Interspecific competition was investigated as an additional mechanism for the successful invasion. Long-legged ants found and removed bait faster than the dominant resident ant species, Paratrechina lon- gicornis (Latreille), in forested areas of Nukunonu Island, though needing smaller numbers ofrecruits to achieve this result. This A. gracilipes invasion is of serious concern for the biodiversity of Tokelau and probably many ofthe other Pacific islands where these ants have invaded.",2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,Lester & Tavite_2004,2004,"Lester PJ, Tavite A. 2004. Ant and Invertebrate Communities l. Pacific Science 58: 391–401."
